timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1692403200000,1660.76,1671.43,1655.17,1658.85,205422.907,1692417599999,341389865.74621,190801,96009.778,159551109.76857,0
1692417600000,1658.86,1662.78,1653.36,1660.29,172300.562,1692431999999,285579617.92559,167271,78539.882,130177495.74713,0
1692432000000,1660.30,1665.15,1658.24,1659.02,144840.053,1692446399999,240615633.70222,134870,64537.284,107222300.40863,0
1692446400000,1659.03,1685.53,1657.12,1682.39,289605.493,1692460799999,483406435.42515,256230,152918.891,255304983.90504,0
1692460800000,1682.39,1696.14,1673.54,1676.40,393223.635,1692475199999,661503859.60643,336930,191904.211,322900756.50009,0
1692475200000,1676.40,1677.37,1662.30,1668.69,169561.662,1692489599999,283015777.70256,165048,75549.490,126105894.79554,0
1692489600000,1668.70,1674.43,1664.00,1667.09,156676.522,1692503999999,261341831.46967,162434,74391.796,124099306.63483,0
1692504000000,1667.09,1669.49,1660.22,1664.99,127625.746,1692518399999,212439489.87288,134087,58849.378,97969784.30620,0
1692518400000,1665.00,1674.98,1662.56,1674.01,164967.818,1692532799999,275424350.24904,150229,85489.730,142730799.66348,0
1692532800000,1674.02,1679.33,1663.07,1670.47,308997.621,1692547199999,516478581.53380,231365,142068.304,237471759.16024,0
1692547200000,1670.47,1679.24,1664.51,1677.42,155835.765,1692561599999,260683479.91730,154967,79899.013,133667735.91261,0
1692561600000,1677.42,1694.36,1677.37,1684.16,251745.108,1692575999999,424250267.32720,226347,129151.385,217657110.94715,0
1692576000000,1684.15,1685.12,1674.28,1676.13,173444.046,1692590399999,291412639.38177,165115,79996.347,134414766.44312,0
1692590400000,1676.13,1687.78,1668.53,1670.96,227371.581,1692604799999,380963439.74308,191884,109948.955,184245986.63986,0
1692604800000,1670.96,1674.88,1658.25,1672.20,325165.839,1692619199999,542442634.52959,246723,162364.216,270930712.86355,0
1692619200000,1672.20,1683.53,1647.22,1656.59,582838.998,1692633599999,970588047.32532,430476,283893.085,472867821.67263,0
1692633600000,1656.59,1674.88,1656.07,1671.55,269316.264,1692647999999,448152893.16309,217267,137719.875,229184688.06570,0
1692648000000,1671.55,1676.46,1665.48,1666.79,138470.953,1692662399999,231354412.92526,141977,65640.585,109670683.65597,0
1692662400000,1666.80,1668.57,1660.50,1663.34,121587.960,1692676799999,202396218.42039,116328,64740.490,107775739.13814,0
1692676800000,1663.35,1666.19,1659.92,1665.57,118031.381,1692691199999,196260232.37480,111877,63207.084,105106128.68735,0
1692691200000,1665.57,1666.89,1658.98,1661.52,141722.019,1692705599999,235729050.79431,349575,65380.380,108756281.14009,0
1692705600000,1661.53,1666.66,1642.00,1649.16,419629.430,1692719999999,694985228.20322,541069,201207.623,333294836.22781,0
1692720000000,1649.15,1650.40,1616.00,1624.20,956010.820,1692734399999,1562402847.50113,714696,462105.057,755328543.78112,0
1692734400000,1624.20,1639.91,1575.00,1634.50,871668.550,1692748799999,1405479542.01759,628181,425509.979,686401277.15727,0
1692748800000,1634.49,1642.00,1628.50,1631.06,267097.142,1692763199999,436506177.18086,397739,125797.579,205596193.89856,0
1692763200000,1631.06,1658.37,1629.92,1644.53,371236.308,1692777599999,609920760.31731,518502,202099.477,332070051.35185,0
1692777600000,1644.53,1648.16,1638.85,1641.60,226776.929,1692791999999,372612519.46624,417411,108102.990,177620470.39686,0
1692792000000,1641.60,1659.86,1633.19,1656.53,552905.641,1692806399999,910986937.74184,645189,279669.358,460846071.99472,0
1692806400000,1656.54,1703.85,1654.84,1686.37,957686.113,1692820799999,1610138535.96062,932654,501171.722,842650085.93184,0
1692820800000,1686.37,1692.44,1657.83,1678.80,434269.044,1692835199999,728312859.01501,409293,209570.480,351487523.08758,0
1692835200000,1678.79,1682.88,1671.72,1674.70,173898.881,1692849599999,291520280.92126,157917,84867.754,142262598.82018,0
1692849600000,1674.70,1678.44,1671.73,1673.63,115796.387,1692863999999,193954983.11040,117171,61214.582,102533064.41277,0
1692864000000,1673.63,1677.16,1665.13,1666.80,234584.385,1692878399999,391869077.65863,192371,115147.450,192354754.20113,0
1692878400000,1666.79,1668.96,1641.04,1642.79,544972.852,1692892799999,900895553.15110,454066,264437.047,437105949.39448,0
1692892800000,1642.79,1655.70,1631.66,1649.05,451788.953,1692907199999,744205917.45196,362039,226460.140,373111439.31135,0
1692907200000,1649.05,1665.38,1642.36,1660.22,218833.781,1692921599999,361748098.50337,202262,115165.271,190403754.33404,0
1692921600000,1660.23,1663.63,1643.05,1654.61,217636.118,1692935999999,360297157.48902,206912,100506.305,166402279.20867,0
1692936000000,1654.61,1655.14,1646.00,1650.53,170617.669,1692950399999,281594922.50572,175300,86876.049,143386749.88230,0
1692950400000,1650.54,1658.34,1650.22,1653.51,127152.342,1692964799999,210275913.08973,120789,67205.773,111139176.03007,0
1692964800000,1653.51,1676.73,1635.01,1645.23,853378.453,1692979199999,1411512225.47903,726560,426675.819,705897769.69354,0
1692979200000,1645.23,1655.11,1634.43,1646.15,324867.204,1692993599999,534464612.00812,322854,168536.028,277302666.42098,0
1692993600000,1646.15,1654.40,1645.01,1653.24,148900.488,1693007999999,245742209.41930,141269,82369.965,135938109.64210,0
1693008000000,1653.25,1654.77,1650.68,1653.67,78919.033,1693022399999,130426628.38311,91644,39381.719,65084426.30477,0
1693022400000,1653.67,1653.98,1649.88,1652.12,51510.620,1693036799999,85096701.56692,70291,25111.245,41484462.03259,0
1693036800000,1652.11,1652.92,1645.47,1649.61,134458.892,1693051199999,221628297.08848,102895,63513.328,104679411.59396,0
1693051200000,1649.60,1652.38,1645.85,1650.60,74781.565,1693065599999,123346573.86270,79637,36619.570,60406184.70256,0
1693065600000,1650.60,1651.00,1643.01,1645.30,100831.539,1693079999999,165938822.09080,98442,50001.702,82281488.03818,0
1693080000000,1645.30,1649.81,1644.13,1646.28,59309.480,1693094399999,97683343.35704,73759,28268.168,46556443.79521,0
1693094400000,1646.29,1649.77,1645.38,1646.45,68476.100,1693108799999,112795653.44325,69042,35773.883,58926038.16191,0
1693108800000,1646.46,1654.89,1646.45,1647.81,97167.980,1693123199999,160348302.93233,89754,48614.326,80228017.36230,0
1693123200000,1647.81,1651.89,1646.35,1648.50,86006.058,1693137599999,141861854.89222,77068,45152.249,74474988.21480,0
1693137600000,1648.50,1659.57,1647.93,1654.68,175418.928,1693151999999,290276934.85058,167294,88796.462,146932495.33155,0
1693152000000,1654.69,1659.48,1648.93,1655.05,136833.953,1693166399999,226388628.05566,142413,68402.425,113170819.83906,0
1693166400000,1655.04,1658.44,1650.25,1657.59,93437.254,1693180799999,154630947.87272,111616,47553.291,78696449.29657,0
1693180800000,1657.59,1657.60,1647.06,1649.09,151055.912,1693195199999,249321726.35352,154238,75390.914,124423530.75175,0
1693195200000,1649.09,1650.94,1635.00,1640.91,255671.412,1693209599999,419833516.73942,206159,122015.040,200349552.55095,0
1693209600000,1640.91,1642.91,1618.00,1639.54,334238.409,1693223999999,545859690.12388,269932,165246.740,269976525.54688,0
1693224000000,1639.53,1663.88,1639.01,1647.99,541803.192,1693238399999,894877632.97271,467435,285671.643,471854597.13880,0
1693238400000,1647.98,1654.29,1637.00,1645.82,262436.996,1693252799999,432229860.10326,245924,131987.867,217425432.25876,0
1693252800000,1645.82,1656.77,1643.26,1652.51,127197.053,1693267199999,209840513.90229,140018,63263.853,104378714.50274,0
1693267200000,1652.50,1661.95,1650.02,1651.60,196035.632,1693281599999,324481737.09417,181834,94739.655,156829982.11902,0
1693281600000,1651.61,1653.00,1644.19,1646.57,174915.414,1693295999999,288311412.28758,147922,85797.199,141425333.60146,0
1693296000000,1646.58,1647.24,1639.01,1641.20,184654.508,1693310399999,303511032.14667,165399,94846.240,155897600.79600,0
1693310400000,1641.20,1736.92,1639.35,1715.65,1778037.866,1693324799999,3022297774.64860,1273497,920830.471,1564635003.36800,0
1693324800000,1715.66,1747.15,1708.00,1734.41,879683.570,1693339199999,1523324669.57755,810696,444125.432,769157238.27242,0
1693339200000,1734.41,1741.47,1720.60,1728.51,266029.351,1693353599999,460372255.18647,280390,133508.709,231076077.44209,0
1693353600000,1728.52,1730.37,1712.14,1717.92,263190.671,1693367999999,452524640.36016,275163,128599.660,221094093.50802,0
1693368000000,1717.92,1721.96,1715.26,1716.91,124601.695,1693382399999,214106596.25741,130820,65200.234,112046418.81494,0
1693382400000,1716.91,1719.99,1710.00,1715.16,186988.276,1693396799999,320828234.82775,172256,92817.476,159252949.38781,0
1693396800000,1715.16,1721.69,1688.00,1702.89,637542.848,1693411199999,1089578996.53868,605994,313997.155,536772108.69408,0
1693411200000,1702.88,1704.60,1694.67,1700.77,213062.101,1693425599999,362289086.59811,218681,108413.905,184361312.42356,0
1693425600000,1700.77,1708.00,1700.34,1704.39,113848.450,1693439999999,193967255.95802,114915,57561.300,98076653.07107,0
1693440000000,1704.39,1704.39,1696.16,1698.53,98004.617,1693454399999,166616137.53770,87172,46242.595,78613529.14829,0
1693454400000,1698.52,1706.98,1698.35,1705.64,108061.768,1693468799999,184010667.48650,95759,61932.578,105452268.54976,0
1693468800000,1705.64,1730.00,1702.44,1712.87,339928.732,1693483199999,582455511.40624,270623,178558.076,306054806.80585,0
1693483200000,1712.86,1713.30,1674.05,1688.10,563343.493,1693497599999,956069959.76015,492932,266986.256,453166475.69208,0
1693497600000,1688.11,1688.33,1641.33,1656.25,969034.741,1693511999999,1610457163.60247,823820,471399.743,783348408.92534,0
1693512000000,1656.23,1656.66,1628.30,1645.27,410521.188,1693526399999,674820699.44946,387861,197005.151,323897486.68067,0
1693526400000,1645.26,1653.89,1644.29,1651.36,153134.759,1693540799999,252669998.04228,144167,76937.307,126939640.55536,0
1693540800000,1651.35,1652.28,1642.01,1645.45,122119.284,1693555199999,201101139.22691,115776,51659.020,85065984.39971,0
1693555200000,1645.45,1647.84,1640.20,1646.26,151900.221,1693569599999,249749250.29971,132377,81915.800,134688243.14868,0
1693569600000,1646.27,1651.97,1621.00,1633.75,671584.366,1693583999999,1098921022.58228,597174,328915.028,538244638.49814,0
1693584000000,1633.76,1637.00,1601.22,1618.64,750211.457,1693598399999,1212647686.32250,669833,369994.153,598019827.06667,0
1693598400000,1618.66,1637.96,1615.38,1628.19,240604.855,1693612799999,391578507.68287,221334,122933.244,200073293.34330,0
1693612800000,1628.20,1633.72,1627.05,1631.50,100954.346,1693627199999,164553218.05678,112089,47951.730,78158082.57989,0
1693627200000,1631.50,1636.54,1629.25,1630.67,110763.975,1693641599999,180771547.46649,109856,56629.363,92434480.93869,0
1693641600000,1630.68,1636.48,1629.24,1633.88,114906.312,1693655999999,187600915.05561,125223,55810.238,91124815.64593,0
1693656000000,1633.88,1644.99,1632.51,1637.97,194875.070,1693670399999,319221736.72690,191411,97498.719,159724253.05888,0
1693670400000,1637.97,1640.18,1627.52,1632.81,159696.729,1693684799999,260888472.34214,158815,73695.887,120394598.06478,0
1693684800000,1632.82,1639.14,1631.98,1636.24,73429.490,1693699199999,120087948.29019,81914,37022.756,60542841.40039,0
1693699200000,1636.24,1636.84,1630.55,1635.45,91742.054,1693713599999,149872470.27440,80234,41130.144,67194146.55327,0
1693713600000,1635.44,1638.34,1632.90,1634.95,67361.534,1693727999999,110156109.08913,72586,36504.771,59698605.23367,0
1693728000000,1634.95,1635.22,1630.08,1633.49,79460.250,1693742399999,129709288.06794,70472,40342.985,65853075.42279,0
1693742400000,1633.49,1640.51,1627.19,1632.18,228104.850,1693756799999,372695835.59622,204147,120226.542,196466736.92117,0
1693756800000,1632.19,1642.97,1623.93,1638.08,221275.558,1693771199999,361295134.58937,212070,112626.952,183954980.48201,0
1693771200000,1638.09,1648.24,1632.21,1635.02,150999.728,1693785599999,247526664.72867,154748,77970.099,127836094.66788,0
1693785600000,1635.03,1644.50,1631.15,1636.86,135923.571,1693799999999,222487576.90725,140068,67005.190,109684623.03007,0
1693800000000,1636.86,1639.59,1633.71,1638.06,96752.321,1693814399999,158371269.50732,90693,47375.214,77547874.25351,0
1693814400000,1638.07,1639.95,1630.25,1631.46,128286.140,1693828799999,209745366.26661,117404,60384.632,98722954.95544,0
1693828800000,1631.46,1634.18,1617.04,1625.33,339044.866,1693843199999,551700396.09853,312670,163943.738,266805245.53717,0
1693843200000,1625.33,1635.43,1624.62,1630.41,131931.871,1693857599999,214969106.39555,152021,69981.021,114036358.59465,0
1693857600000,1630.42,1634.00,1614.76,1630.09,255885.396,1693871999999,415720457.36876,236848,135370.623,219999118.46517,0
1693872000000,1630.08,1630.70,1608.45,1617.25,254663.884,1693886399999,412103862.89826,235095,120672.304,195252549.85118,0
1693886400000,1617.24,1627.52,1617.24,1624.33,180714.300,1693900799999,293128164.13377,141466,94340.910,153036109.13296,0
1693900800000,1624.32,1638.47,1620.00,1634.64,236327.932,1693915199999,385202590.79118,210450,121931.861,198778490.10741,0
1693915200000,1634.64,1648.00,1624.85,1636.03,448773.106,1693929599999,733798778.00886,420162,223772.181,365942422.05685,0
1693929600000,1636.02,1642.92,1631.31,1631.55,196698.018,1693943999999,321900147.56904,200047,96619.413,158126531.37045,0
1693944000000,1631.54,1633.76,1625.76,1633.63,127204.713,1693958399999,207320657.15160,113010,66051.769,107651596.48821,0
1693958400000,1633.63,1639.73,1630.86,1632.63,127773.547,1693972799999,208893830.29961,110037,59339.349,97002830.50317,0
1693972800000,1632.62,1633.07,1626.98,1628.41,132311.640,1693987199999,215614496.97498,117306,65867.545,107334821.31877,0
1693987200000,1628.41,1635.74,1628.11,1632.02,123061.309,1694001599999,200793178.80907,94611,62210.446,101511515.69512,0
1694001600000,1632.02,1634.91,1618.50,1622.49,342414.321,1694015999999,556604436.43396,303326,168506.780,273908216.10186,0
1694016000000,1622.50,1680.00,1606.74,1630.68,1017228.288,1694030399999,1664788719.68144,779757,522007.850,854523441.12599,0
1694030400000,1630.68,1634.46,1626.78,1632.33,92492.648,1694044799999,150886102.86289,100373,47359.993,77254130.20964,0
1694044800000,1632.33,1639.68,1631.01,1639.45,172504.370,1694059199999,282055680.75662,143013,92943.125,151982224.14476,0
1694059200000,1639.44,1642.10,1634.66,1635.16,152208.888,1694073599999,249339449.19836,125739,72961.570,119532924.79786,0
1694073600000,1635.17,1635.32,1625.00,1626.83,168231.347,1694087999999,274319532.13218,138137,71165.896,116039080.52928,0
1694088000000,1626.82,1633.30,1622.61,1629.85,315940.136,1694102399999,514488747.91613,257147,172328.969,280639753.19575,0
1694102400000,1629.85,1640.96,1629.21,1636.33,250989.714,1694116799999,410458029.06831,222199,125185.229,204726091.36702,0
1694116800000,1636.32,1659.70,1635.01,1647.27,511006.153,1694131199999,842172223.14787,425803,263653.325,434540842.34978,0
1694131200000,1647.25,1658.77,1643.19,1645.65,218046.577,1694145599999,359415515.85298,192148,108244.442,178410240.90934,0
1694145600000,1645.66,1653.00,1642.21,1646.10,201941.755,1694159999999,332708981.97555,193837,100504.379,165593968.17911,0
1694160000000,1646.10,1647.13,1615.00,1625.23,542264.370,1694174399999,882628208.54333,428820,257104.467,418368798.00026,0
1694174400000,1625.22,1634.28,1623.47,1627.89,238590.778,1694188799999,388769852.22767,203141,123039.221,200492005.69003,0
1694188800000,1627.89,1634.75,1623.83,1633.70,181393.986,1694203199999,295437462.55127,172244,94471.404,153878343.48945,0
1694203200000,1633.70,1638.17,1632.34,1635.78,99878.319,1694217599999,163347086.08606,107814,48660.284,79582557.13506,0
