fundingTime,fundingRate,markPrice
1788220800005,0.00005716,2466.63000000
1788249600000,0.00008569,2471.44000000
1788278400000,0.00001100,2447.89395349
1788307200000,0.00000092,2417.48121705
1788336000001,0.00005096,2416.69371318
1788364800005,0.00005184,2390.18441860
1788393600000,0.00008972,2390.91482171
1788422400000,0.00008397,2397.35413178
1788451200000,0.00008789,2516.00000000
1788480000000,0.00009533,2506.42000000
1788508800000,0.00006004,2503.53000000
1788537600009,0.00000594,2450.95000000
1788566400000,0.00002001,2454.57000000
1788595200000,0.00006104,2456.23710853
1788624000001,0.00001860,2458.66386047
1788652800000,0.00007020,2479.17000000
1788681600000,0.00007140,2495.74814729
1788710400004,0.00001850,2478.45390698
1788739200004,0.00006753,2513.57115076
1788768000000,0.00000965,2488.00000000
1788796800003,0.00002859,2468.76000000
1788825600004,0.00004234,2488.91000000
1788854400002,-0.00000489,2478.33000000
1788883200001,0.00005222,2497.81609302
1788912000005,0.00005214,2483.88000000
1788940800004,0.00008538,2509.53191473
1788969600002,0.00003070,2488.97000000
1788998400000,-0.00001168,2466.98020155
1789027200007,0.00005093,2471.53048062
1789056000002,-0.00010810,2440.00000000
1789084800008,0.00000631,2437.04000000
1789113600000,0.00006110,2466.50000000
1789142400000,0.00004999,2558.62000000
1789171200001,0.00000055,2515.59898450
1789200000003,0.00000637,2523.00693023
1789228800000,0.00005163,2534.00000000
1789257600002,0.00004541,2524.80000000
1789286400000,0.00005809,2516.75134884
1789315200000,-0.00004585,2489.62309879
1789344000000,0.00005268,2475.65645736
1789372800000,0.00007700,2521.97000000
1789401600000,0.00003649,2507.27000000
1789430400000,0.00001285,2514.94000000
